na_item,ppp_cat,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
AL	3200 	3600 	3800 	4100 	4400 	4800 	5200 	5800 	6400 	6700 	7300 	7600 	7800 	7600 	8100 	8400 	8400 	8800 	9200 	9500 	9000 
AT	24400 	24600 	25600 	26400 	27600 	28700 	29900 	31100 	32100 	30900 	31800 	33100 	34300 	34600 	35000 	35900 	36600 	37200 	38600 	39500 	37200 
BE	23100 	23800 	24800 	25400 	26200 	27200 	28000 	29000 	29400 	28500 	30200 	30500 	31200 	31500 	32200 	33200 	33700 	34600 	35600 	36900 	35500 
BG	5300 	5800 	6400 	6900 	7500 	8300 	9000 	10000 	10900 	10500 	11100 	11700 	12100 	12000 	12600 	13200 	13900 	14700 	15600 	16700 	16400 
CH	30300 	31100 	31600 	31600 	32700 	34000 	36700 	40200 	41700 	40100 	41400 	43200 	44300 	44900 	45900 	47500 	47300 	47500 	48600 	49000 	47900 
CY	17700 	18900 	19300 	19900 	21200 	22700 	23900 	26000 	27000 	25600 	25300 	24800 	23500 	21900 	21600 	22900 	24800 	26300 	27500 	28800 	26400 
CZ	13500 	14600 	15000 	16000 	17100 	18100 	19000 	20700 	21600 	20900 	21000 	21600 	21600 	22200 	23300 	24400 	25100 	26700 	27900 	29200 	27800 
DE	22800 	23700 	24200 	24800 	25900 	26400 	27600 	29100 	29800 	28300 	30000 	31700 	32000 	32500 	33700 	34200 	35100 	36400 	37500 	37900 	36600 
DK	23800 	24400 	25100 	25300 	26900 	28000 	29700 	30800 	32000 	30500 	32500 	33100 	33100 	33700 	34300 	35300 	36100 	38000 	39000 	39900 	40300 
EE	7800 	8500 	9500 	10700 	11800 	13600 	15300 	17500 	17700 	15400 	16300 	18300 	19200 	19800 	20700 	21000 	21700 	23300 	24600 	25800 	25200 
EL	16200 	17300 	18500 	19600 	20800 	20900 	22700 	23100 	23900 	22900 	21100 	19100 	18400 	18700 	19100 	19200 	19100 	19600 	20100 	20700 	18600 
ES	17900 	19000 	20000 	20600 	21400 	22600 	24400 	25600 	25800 	24200 	24000 	23800 	23400 	23400 	24000 	25100 	25900 	27200 	27600 	28400 	25200 
FI	22200 	23000 	23400 	23800 	25500 	26200 	27400 	29900 	31100 	28700 	29500 	30500 	30200 	29900 	29900 	30500 	31200 	32700 	33600 	34300 	33800 
FR	21700 	22800 	23400 	23100 	23700 	25000 	25800 	26900 	27200 	26200 	27200 	27900 	27800 	28500 	28800 	29400 	29800 	30500 	31500 	33200 	31200 
HR	9200 	9600 	10500 	11200 	12000 	12600 	14000 	15400 	16200 	15200 	15100 	15700 	15800 	15900 	16000 	16700 	17500 	18600 	19600 	20800 	19200 
HU	9800 	10900 	11900 	12700 	13300 	14000 	14600 	15100 	16100 	15700 	16500 	17200 	17200 	17700 	18400 	19300 	19400 	20300 	21600 	22800 	22100 
IE	25100 	27000 	28900 	29800 	31700 	33100 	35200 	36900 	34200 	31300 	32700 	33600 	34300 	34500 	36700 	49700 	49700 	53400 	57400 	59500 	62400 
IS	24700 	26400 	26700 	26900 	29000 	30600 	31500 	32800 	33700 	31500 	30100 	30500 	31000 	32000 	33000 	35400 	37100 	38200 	38800 	39700 	35800 
IT	22500 	23200 	23500 	23900 	24100 	24600 	25700 	26800 	27400 	25900 	26400 	27000 	26700 	26200 	26100 	26700 	28000 	28800 	29500 	30200 	28000 
JP	22400 	23000 	23200 	23800 	24700 	26000 	26400 	27200 	27300 	25200 	26400 	27200 	28300 	29100 	29100 	29600 	28000 	28300 	28600 	29000 	28500 
LT	7000 	7800 	8600 	9900 	10600 	11900 	13100 	15100 	16100 	13700 	15200 	17100 	18200 	19300 	20200 	20700 	21500 	23200 	24700 	26200 	26000 
LU	45700 	46400 	48000 	49300 	52800 	56300 	62700 	67100 	70500 	65500 	68300 	70300 	71300 	72500 	75200 	77600 	78400 	78900 	79200 	79600 	78700 
LV	6700 	7500 	8300 	9100 	10000 	11400 	12600 	14400 	15200 	12900 	13400 	14400 	15700 	16300 	17100 	18000 	18600 	19700 	21000 	21700 	21000 
MK	5100 	5000 	5200 	5400 	5900 	6400 	6900 	7400 	8200 	8300 	8600 	8700 	8800 	9200 	9600 	10000 	10500 	10800 	11400 	11900 	11300 
MT	15300 	15300 	16100 	17200 	17600 	18300 	18500 	19800 	20600 	20100 	21700 	21600 	22300 	23300 	24600 	26900 	27400 	29900 	30900 	32200 	28900 
NL	26500 	27500 	28200 	28000 	29300 	30800 	32600 	34700 	36000 	33600 	34100 	34700 	34900 	35500 	35300 	36200 	36300 	37800 	39200 	40100 	39600 
NO	30700 	31300 	31100 	31700 	34800 	39100 	43000 	44200 	47900 	41800 	43800 	46300 	48300 	48300 	47200 	43400 	40900 	44000 	47300 	45500 	41900 
PL	8900 	9200 	9700 	10100 	10900 	11400 	12000 	13300 	14200 	14400 	15800 	16800 	17300 	17500 	18000 	19100 	19400 	20400 	21400 	22700 	22600 
PT	15700 	16200 	16700 	17100 	17500 	18600 	19600 	20300 	20700 	20000 	20600 	20000 	19500 	20200 	20600 	21300 	21900 	22700 	23700 	24600 	22800 
RO	4900 	5300 	5900 	6200 	7300 	7900 	9200 	10800 	13000 	12600 	12800 	13300 	13900 	14300 	14800 	15500 	16800 	18600 	19900 	21700 	21400 
RS	5000 	5400 	5900 	6300 	6900 	7500 	8100 	8900 	9800 	9500 	9700 	10200 	10300 	10600 	10500 	10700 	11000 	11400 	12000 	12800 	12800 
SE	24600 	24800 	25300 	26100 	27700 	28000 	30000 	32300 	32700 	30400 	32000 	33300 	33600 	33400 	33800 	35300 	35000 	35700 	36300 	37100 	36800 
SI	14900 	15700 	16600 	17300 	18600 	19500 	20400 	21800 	23000 	20800 	21100 	21600 	21500 	21600 	22100 	22700 	23600 	25100 	26400 	27700 	26500 
SK	9400 	10300 	10900 	11600 	12400 	13600 	15000 	16700 	18300 	17300 	19000 	19500 	19900 	20100 	20700 	21500 	20600 	20600 	21200 	21800 	20900 
